removed_interest,aud_low_est,aud_high_est,date_aud_test,seen_in_CB,unique_user,unique_advertiser
¡Despierta América!,,,,yes,1,3
14th Dalai Lama,,,,yes,1,2
2nd Amendment,1700000,2000000,2022-01-07,yes,11,31
A Course in Miracles,949880,1117505,2021-10-29,yes,2,2
AARP Black Community,,,,yes,2,2
Abaya,,,,yes,1,2
Abdomen,90672040,106630320,2022-02-08,yes,10,9
Abilene Christian University,,,,yes,1,1
Abraham Lincoln,,,,yes,12,6
Absolute (philosophy),,,,yes,1,1
Acne cosmetica,,,,yes,3,2
ACT UP,75000,88200,2021-12-23,yes,2,3
Acupressure,,,,yes,1,2
Acupuncture,,,,yes,13,16
Adult Children of Alcoholics,,,,yes,1,1
Advaita Vedanta,,,,yes,1,1
Adventism,,,,yes,3,2
Advocacy,,,,yes,23,15
African diaspora culture,,,,yes,6,5
African Methodist Episcopal Church,,,,yes,2,3
African Methodist Episcopal Zion Church,,,,yes,3,3
African-American Civil Rights Movement (1954-68),,,,no,,
African-American culture,54300000,63800000,2022-01-07,yes,207,311
African-American dance,,,,yes,3,2
African-American history,3400000,4000000,2022-01-07,yes,42,54
African-American studies,270200,317900,2022-01-07,yes,1,1
Afro,26636120,31336611,2021-10-29,yes,10,18
Afro-American Newspapers,,,,yes,2,4
Afro-punk,2149840,2529223,2021-10-29,yes,7,10
Afro-textured hair,16300000,19200000,2022-01-07,yes,12,19
Afrofuturism,,,,yes,1,1
Afterlife,43566530,51254741,2021-10-29,yes,10,10
Ageing,142935660,168159600,2021-10-29,yes,172,231
AIDS/LifeCycle,,,,yes,1,1
Ainsley Earhardt,,,,yes,5,1
Air force,16164,19009,2022-02-08,yes,7,11
Air National Guard,,,,yes,3,3
Aish HaTorah,,,,yes,1,1
Al Franken,,,,yes,1,1
Al Gore,,,,yes,5,4
Al Sharpton,582900,685800,2022-01-07,yes,10,3
Al-Kawthar,,,,yes,1,1
Al-Masjid al-Nabawi,,,,yes,1,3
Al-Qur'an,1440842,1695108,2021-10-29,no,,
Alcoholic drink,,,,yes,11,18
Alexandria Ocasio-Cortez,,,,yes,27,19
Aline Barros,11194910,13170482,2021-10-29,no,,
Allen West (politician),,,,yes,12,4
Allergen,,,,yes,12,7
Allergy,16800000,19800000,2021-12-23,yes,75,63
Alpha Kappa Alpha,1700000,2000000,2022-01-07,yes,5,27
Alpha Phi Alpha,669900,788100,2022-01-07,yes,6,15
Alternative medicine,,,,yes,141,156
Altruism,,,,yes,2,3
Alzheimer's disease research,1400000,1700000,2021-12-23,yes,12,18
American Brain Tumor Association,,,,yes,1,3
American Cancer Society,11900000,14000000,2022-01-07,yes,82,67
American Cancer Society Making Strides Against Breast Cancer,,,,yes,3,9
American Center for Law & Justice,,,,yes,3,3
American Civil Liberties Union,,,,yes,86,29
American Civil War reenactment,,,,yes,1,1
American Diabetes Association,2000000,2300000,2021-12-23,yes,17,48
American Enterprise Institute,920900,1100000,2022-01-07,yes,3,5
American Foundation for Suicide Prevention,,,,yes,9,13
American Headache Society,,,,yes,1,3
American Heart Association,6100000,7200000,2022-01-07,yes,36,42
American Independent Party,,,,yes,1,1
American Indian College Fund,,,,yes,2,2
American Israel Public Affairs Committee,,,,yes,1,1
American Jewish Committee,,,,yes,11,21
American jewish culture,1000000,1200000,2022-01-07,yes,15,25
American Kidney Fund,,,,yes,2,3
American Lung Association,2000000,2300000,2022-01-07,yes,12,20
American Osteopathic Association,,,,yes,1,1
American Parkinson Disease Association,182100,214200,2021-12-23,yes,2,32
American Patriots,,,,yes,1,1
American Postal Workers Union,,,,yes,2,3
American Psychiatric Association,,,,yes,2,4
American Sign Language,,,,yes,4,4
American Women Veterans,,,,yes,2,4
Amulet,40287890,47397517,2021-10-29,yes,10,11
Amy Klobuchar,,,,yes,2,1
Anarkali,6536680,7690211,2021-10-29,no,,
Anderson Cooper,985730,1159682,2021-10-29,yes,6,4
Anderson Cooper 360°,,,,yes,9,5
Anesthesia,,,,yes,1,1
Angel wings,1251530,1472388,2021-10-29,yes,1,1
Anglicanism,,,,yes,1,3
Animism,,,,yes,1,1
Ann Coulter,986900,1200000,2022-01-07,yes,4,7
Ann Voskamp,1100000,1300000,2022-01-07,yes,6,19
Anthropology of religion,,,,yes,2,2
Anti-abortion movements,,,,yes,7,5
Anti-racism,,,,yes,12,10
Anxiety and Depression Association of America,18800000,22200000,2021-12-23,yes,5,8
Apocalypse,13931500,16390000,2021-10-29,yes,8,8
Apostle (Christian),,,,yes,2,2
Army,97221020,114377670,2021-10-29,yes,47,48
Army National Guard,2311360,2719247,2021-10-29,yes,2,2
Army Times,995093,1170230,2022-02-08,yes,4,4
Arnold Schwarzenegger,,,,yes,2,2
Arthritis awareness,16200000,19100000,2021-12-23,yes,75,90
Arthritis Foundation,,,,yes,7,19
Asbury Theological Seminary,10242,12049,2021-10-29,no,,
Ashkenazi jewish culture,,,,yes,8,12
Asian american culture,7400000,8800000,2022-01-07,yes,70,71
Asian Pacific American,,,,yes,1,6
Assembleias de Deus,13867130,16314270,2021-10-29,no,,
Assemblies of god church,,,,yes,7,10
Assemblies of God USA,,,,yes,1,1
Asthma and Allergy Foundation of America,,,,yes,2,3
Asthma and Allergy Foundation of America (AAFA),,,,yes,2,3
Asthma and Allergy Friendly,,,,yes,1,7
Atheism,,,,yes,9,7
Atkins diet,,,,yes,22,30
Attitude (magazine),20326620,23913670,2021-11-19,yes,10,22
Audiology,4904107,5767230,2022-02-08,yes,4,5
Auditory system,,,,yes,1,1
Autism Awareness,14500000,17100000,2021-12-23,yes,121,168
Autism rights movement,,,,yes,8,29
Autism Speaks,3100000,3600000,2022-01-07,yes,23,81
Autism Treatment Center of America,,,,yes,1,3
Autoimmunity,,,,yes,7,18
Avraham Fried,99530,117094,2021-10-29,no,,
Ayah,22151860,26061011,2021-10-29,yes,1,22
B-cell chronic lymphocytic leukemia,,,,yes,17,15
Banarasi saris,7189650,8458411,2021-10-29,no,,
Baptism,,,,yes,5,3
Baptist church,12600000,14800000,2022-01-07,yes,56,59
Bar-Ilan University,458310,539188,2021-10-29,yes,1,2
Barack Obama,12500000,14700000,2022-01-07,yes,171,56
Basic Rights Oregon,,,,yes,1,1
Batik,38128950,44857588,2021-10-29,no,,
BBC Arabic Television,2159570,2540670,2021-10-29,no,,
BBC News (TV channel),55425280,65206211,2021-10-29,no,,
Behaviour therapy,,,,yes,2,4
Being Conservative,,,,yes,7,8
Belief,,,,yes,22,4
"BellyBelly - Pregnancy, Birth & Parenting",,,,yes,1,1
Ben Carson,,,,yes,5,4
Ben Shapiro,23314120,27428376,2021-10-29,yes,144,139
Bengali language,,,,yes,3,2
Benjamin Netanyahu,15655340,18418047,2021-10-29,yes,13,14
Bernie Sanders,,,,yes,153,69
BET,86000000,101100000,2022-01-07,yes,217,246
BET Awards,25300000,29800000,2022-01-07,yes,12,23
BET Hip-Hop,277528,326503,2021-10-29,no,,
Beth Moore,5800000,6900000,2022-01-07,yes,2,2
"Bethel Church (Redding, California)",,,,yes,4,9
Bhajan,,,,yes,1,1
Bible,29000000,34100000,2022-01-07,yes,202,253
Bible prophecy,,,,yes,7,13
Bible society,,,,yes,1,2
Bible Studies,,,,yes,1,2
Bible study (Christian),11900000,14000000,2022-01-07,yes,35,119
Bible Study Fellowship,,,,yes,2,2
Bible translations,,,,yes,1,2
Bible/Ministry,5933,6980,2021-10-29,no,,
Bible/Theology,19169,22551,2021-10-29,no,,
BibleGateway.com,,,,yes,5,28
BibleStudyTools.com,,,,yes,4,15
Biblical & Theological Studies,7032,8272,2021-10-29,no,,
Bill Clinton,,,,yes,5,5
Bill Gaither (gospel singer),,,,yes,2,1
Bill Maher,11509380,13540447,2021-10-29,yes,23,16
Bill O'Reilly (political commentator),7400000,8700000,2022-01-07,yes,36,30
Billy Graham,,,,yes,25,52
Billy Graham Evangelistic Association,,,,yes,13,25
Biodiversity,,,,yes,13,10
Birthright Israel,2100000,2400000,2022-01-07,yes,6,14
Bisexual community,,,,yes,1,2
Bishop,13006,15301,2021-10-29,yes,4,5
Black Enterprise,,,,yes,9,19
Black feminism,,,,yes,2,2
Black Girls Rock!,,,,yes,4,7
Black History Month,1900000,2300000,2022-01-07,yes,36,22
Black is beautiful,,,,yes,3,4
Black magic,10469190,12316694,2021-10-29,yes,3,3
Black Panther (comics),8992140,10578988,2021-10-29,yes,14,17
Blessed Sacrament,,,,yes,1,2
blessed virgin mary,,,,yes,1,4
Blinded Veterans Association,,,,yes,1,1
Blood cell,7173486,8436020,2022-02-08,yes,7,6
Blood plasma,,,,yes,26,13
Blood vessel,47317990,55668223,2021-10-29,yes,13,14
Bloomberg Businessweek,7788620,9163082,2021-10-29,yes,5,5
Bloomberg News,2450450,2882882,2021-10-29,yes,3,3
Bloomberg Television,1362430,1602858,2021-10-29,no,,
Blue Letter Bible,,,,yes,1,2
Bone Health,,,,yes,3,5
Book of Genesis,,,,yes,2,3
Book of Mormon,3873600,4557176,2021-10-29,yes,10,12
Books of the Bible,,,,yes,6,7
Born again (Christianity),,,,yes,2,2
Bossip,2300000,2700000,2022-01-07,yes,4,5
BP Magazine for Bipolar,,,,yes,3,3
Brain,341488570,401751258,2021-10-29,yes,102,57
Brain fitness,11500000,13500000,2022-01-07,yes,3,5
Breast Cancer awareness,17100000,20100000,2022-01-07,yes,100,117
Breast Cancer Care,,,,yes,2,4
Breast pump,26115333,30711632,2022-02-08,yes,16,37
Breastcancer.org,,,,yes,4,8
Breastfeeding,163449870,192293964,2021-10-29,yes,59,94
Bret Baier,,,,yes,4,1
Brian Sims,,,,yes,1,1
Broadway Cares/Equity Fights AIDS,,,,yes,3,3
Brookings Institution,516400,607529,2021-10-29,yes,7,3
Buddha Groove,,,,yes,3,3
Buddhism,,,,yes,24,24
Buddhist meditation,,,,yes,3,6
Bulletproof Coffee,82570,97141,2021-10-29,no,,
Bullying awareness,,,,yes,5,4
BuzzFeed Español,,,,yes,1,1
Cajun culture,,,,yes,2,3
Calcalist,1015190,1194341,2021-10-29,no,,
California Republican Party,,,,yes,1,1
Calvinism,,,,yes,6,9
Camouflage,17184380,20216917,2021-10-29,yes,4,4
Camp Ramah,,,,yes,1,2
Cancer awareness,36000000,42300000,2022-01-07,yes,281,221
Cancer research,8000000,9400000,2021-12-23,yes,12,19
Capitalism,,,,yes,8,5
Caroline Myss,486420,572258,2021-10-29,yes,5,9
Cartomancy,24092280,28343858,2021-10-29,no,,
Casting Crowns,11000000,13000000,2022-01-07,yes,27,62
Catechism of the Catholic Church,,,,yes,3,9
Catholic and Proud,,,,yes,4,9
Catholic Answers,,,,yes,7,12
Catholic Bible,,,,yes,5,16
Catholic Charismatic Renewal,,,,yes,1,4
Catholic Church,23500000,27600000,2022-01-07,yes,109,154
Catholic Church in the United States,,,,yes,7,27
catholic company,,,,yes,3,7
Catholic News Agency,,,,yes,9,29
Catholic News Service,,,,yes,3,9
Catholic Online,,,,yes,1,8
Catholic Relief Services,,,,yes,6,15
Catholic school,,,,yes,8,11
Catholicism,,,,yes,5,21
CatholicVote,,,,yes,4,6
Cato Institute,998290,1174458,2021-10-29,yes,12,11
Celtic languages,,,,yes,1,1
Center for Reproductive Rights,,,,yes,1,1
Central nervous system,,,,yes,5,3
Chapters and verses of the Bible,7300000,8600000,2022-01-07,yes,19,23
Charisma (magazine),852220,1002611,2021-10-29,yes,2,16
Charismatic Movement,,,,yes,3,4
Chicano Movement,,,,yes,1,1
Chinese american culture,,,,yes,1,1
Chonda Pierce,1342640,1579576,2021-10-29,yes,2,4
Chris Christie,,,,yes,1,1
Chris Murphy (politician),,,,yes,1,1
Chris Tomlin,22000000,25900000,2022-01-07,yes,24,69
Christ,,,,yes,1,3
Christendom College,,,,yes,2,3
Christian Books,,,,yes,3,4
Christian Broadcasting Network,,,,yes,14,16
Christian Church,30700000,36100000,2022-01-07,yes,108,183
Christian clothing,,,,yes,2,5
Christian country music,,,,yes,1,1
Christian denominations,7600000,9000000,2022-01-07,yes,45,44
Christian devotional literature,,,,yes,6,17
Christian hip hop,,,,yes,13,11
Christian ministry,27800000,32700000,2022-01-07,yes,76,102
Christian music,75200000,88400000,2022-01-07,yes,264,200
Christian News Network,,,,yes,2,2
Christian novel,,,,yes,3,3
Christian prayer,,,,yes,4,9
Christian Quotes,,,,yes,1,1
Christian revival,,,,yes,2,2
Christian rock,,,,yes,21,17
Christian school,,,,yes,5,7
Christian theology,2600000,3100000,2022-01-07,yes,16,26
Christian Today,,,,yes,7,17
Christian Zionism,,,,yes,8,6
Christianbook.com,,,,yes,9,18
ChristianCinema.com,,,,yes,1,1
Christianity Today,,,,yes,17,42
Christianity.com,,,,yes,1,1
Christians United for Israel,850800,1000000,2022-01-07,yes,11,27
Christmas and holiday season,,,,yes,100,153
Christmas card,,,,yes,9,14
Christmas carol,,,,yes,6,7
Christmas decoration,,,,yes,19,43
Christmas Eve,,,,yes,18,30
Christmas Gift,3268529,3845328,2021-10-29,no,,
Christmas lights,,,,yes,14,30
Christmas music,,,,yes,13,29
Christmas ornament,,,,yes,19,38
Christmas stocking,,,,yes,5,4
Christmas traditions,,,,yes,5,13
Christmas tree,,,,yes,34,62
Christology,,,,yes,2,2
Christopher Hitchens,,,,yes,1,1
CHRISTUS Good Shepherd Health System,4344,5110,2021-10-29,no,,
CHRISTUS Health,9486,11160,2021-10-29,no,,
Chronic obstructive pulmonary disease awareness,9200000,10800000,2021-12-23,yes,42,36
Chuck Schumer,,,,yes,6,3
Chuck Swindoll,518310,609776,2021-10-29,yes,5,15
Church (building),,,,yes,31,32
Church Administrator,2780,3270,2021-10-29,no,,
Church Fathers,,,,yes,1,1
Church Leaders,,,,yes,4,4
Church music,,,,yes,1,1
Church of Christ,,,,yes,2,2
Church of God in Christ,,,,yes,7,8
Church of the Nazarene,,,,yes,2,3
Church service,,,,yes,20,20
Churches of Christ,,,,yes,1,1
Circulatory system,126286400,148572235,2021-10-29,yes,37,30
Citizens Committee for the Right to Keep and Bear Arms,,,,yes,3,4
Citizens Committee for the Right to Keep and Bear Arms (CCRKBA),,,,yes,1,1
Citizenship in the United States,,,,yes,1,1
City of Hope National Medical Center,,,,yes,3,2
Civil and political rights,,,,yes,24,15
Clairvoyance,12766780,15019741,2021-10-29,yes,4,9
Classical liberalism,,,,yes,4,3
Climate Action Network,,,,yes,1,1
Climate change,,,,yes,126,100
Climate change mitigation,,,,yes,17,15
Climate justice,,,,yes,1,1
CNBC,23902150,28120176,2021-10-29,yes,59,30
CNN,126302890,148591635,2021-10-29,yes,341,209
CNN en Español,,,,yes,16,18
CNN Indonesia,8843790,10404458,2021-10-29,no,,
CNN International,15704700,18476117,2021-10-29,yes,10,8
CNNMoney,302119,355434,2021-10-29,no,,
Cognition,,,,yes,53,37
Cognitive behavioral therapy,1300000,1500000,2021-12-23,yes,8,10
Cognitive neuroscience,,,,yes,3,3
Cognitive psychology,,,,yes,4,6
College Republicans,,,,yes,6,3
Color of Change,,,,yes,11,8
Common cold,,,,yes,15,15
Communication disorder,,,,yes,1,1
Community mental health service,,,,yes,2,5
Community organizing,,,,yes,7,6
Community service,870510,1023720,2022-02-08,yes,3,3
Compassion,21426000,25207058,2021-10-29,yes,10,6
Complication (medicine),,,,yes,1,1
Compression stockings,3297678,3878070,2022-02-08,yes,13,17
